id,s/c,question,e1_gold,e1_predict,e2_gold,e2_predict,type_sc,r1_gold,r1_predict,r2_gold,r2_predict,constraint
192,C,Name the river whose mouth mountain is Southend-on-Sea and mouth place is Essex?,southend-on-sea,southend-on-sea,essex,essex,type_true,mouthMountain,mouthMountain,mouthPlace,mouthPlace,yes
193,S,What rivers originate from Australian Alps?,australian_alps,australian_alps,,,type_true,sourcePlace,sourceMountain,,,no
194,C,In how many different places have people beatified by Pope Pius X died?,pope_pius_x,pope_pius_x,,,type_true,beatifiedBy,beatifiedBy,deathPlace,deathPlace,yes
195,C,Who develops the computation platform of Microsoft Expression Encoder ?,microsoft_expression_encoder,microsoft_expression_encoder,,,type_true,computingPlatform,computingPlatform,developer,influencedBy,no
196,S,What are the track and field events of Jamiatu Muslim Mindanao?,jamiatu_muslim_mindanao,jamiatu_muslim_mindanao,,,type_false,athletics,athletics,,,no
197,C,How many different songwriters have had their songs recorded in London?,london,london,,,type_true,recordedIn,recordedIn,writer,writer,no
198,C,What are the common houses of US Congress and the Kansas Legislature?,united_states_congress,united_states_congress,kansas_legislature,kansas_legislature,type_true,houses,institution,house,house,no
199,C,Which administrative headquarters of the Pulau Ubin is also the resting place of the Nicole Lai,pulau_ubin,pulau_ubin,nicole_lai,nicole_lai,type_true,capital,capital,restingPlace,restingPlace,no
200,S,Which is the university of Vanderbilt Commodores ?,vanderbilt_commodores,vanderbilt_commodores,,,type_true,university,university,,,no
201,C,Which athlete was the flag bearer for Switzerland in 2004 and 2008 summer Olympics ?,switzerland_at_the_2004_summer_olympics,,switzerland_at_the_2008_summer_olympics,,type_true,flagbearer,flagBearer,flagbearer,flagBearer,no
202,C,List some pupils of National Science Medal winning scientists?,national_medal_of_science,national_medal_of_science,,,type_true,prizes,seeAlso,doctoralStudents,academicAdvisor,yes
203,C,What is the order of the Henry Clay and profession of the William Luther Hill?,henry_clay,henry_clay,william_luther_hill,william_luther_hill,type_true,order,relation,profession,profession,no
204,S,Name the co-founder of the record labels which have one of the founder as Chris DuBois ?,chris_dubois,chris_dubois,,,type_false,founder,foundedBy,,,yes
205,C,How many home stadium are there of the soccer club seasons whose chairman is Merritt Paulson?,merritt_paulson,merritt_paulson,,,type_true,chairman,chairman,homeStadium,homeStadium,no
206,C,Name the scientist whose academic advisor is Karl Ewald Hasse and supervisor is Georg Meissner?,karl_ewald_hasse,karl_ewald_hasse,georg_meissner,georg_meissner,type_true,academicAdvisor,doctoralAdvisor,doctoralAdvisor,doctoralAdvisor,yes
207,C,Who owns the newspaper which was founded by Nehru?,jawaharlal_nehru,jawaharlal_nehru,,,type_true,founder,foundedBy,owner,owner,yes
208,C,Count everyone who studied at an institute which are in Suburbs?,suburb,list_of_canberra_suburbs,,,type_true,campus,sisterNewspaper,education,education,no
209,C,Give me the total number of membership of the organisations which have memebers as  Azerbaijan?,azerbaijan,azerbaijan,,,type_true,membership,riverMouth,membership,homeStadium,no
210,C,Which show's theme music was composed by Primus and voiced by Isaac Hayes?,primus_(band),primus_(band),isaac_hayes,isaac_hayes,type_true,themeMusicComposer,musicalArtist,voices,musicComposer,yes
211,C,What are the reason served by Toll Global Express which is also the country of LPGA ?,toll_global_express,toll_global_express,lpga,lpga,type_true,regionServed,regionServed,country,country,no
212,C,For which games are Sam Loyd and Eric Schiller both famous?,sam_loyd,sam_loyd,eric_schiller,eric_schiller,type_true,knownFor,knownFor,knownFor,knownFor,no
213,S,Which president of United States had vice president as John Adams?,john_adams,john_adams,,,type_false,vicePresident,president,,,no
214,C,Where was the successor of Hank Brown born?,hank_brown,hank_brown,,,type_false,successor,successor,birthPlace,birthPlace,no
215,S,Name the partners of Kelly Brook?,kelly_brook,kelly_brook,,,type_true,partner,partner,,,no
216,C,Count everyone who lives in a place where Indian English is an official language ?,indian_english,indian_english,,,type_true,officialLanguage,officialLanguage,residence,recordedIn,no
217,C,Count the  total number of mammals whose phylum is Chordate and order (taxonomy) is Diprotodontia?,chordate,chordate,diprotodontia,diprotodontia,type_true,phylum,division,order,order,no
218,S,Where does John A Danaher III work?,john_a._danaher_iii,john_a._danaher_iii,,,type_true,office,religion,,,no
219,S,Who is the person whose home town is Fairmount Indiana?,fairmount_indiana,,,,type_true,hometown,hometown,,,no
220,C,What disease led to the demise of Letitia MacTavish Hargrave and Martino Martini ?,letitia_mactavish_hargrave,letitia_mactavish_hargrave,martino_martini,martino_martini,type_true,deathCause,restingPlace,deathCause,occupation,yes
221,S,Is George Lucas the cinematographer of 6-18-67?,6-18-67,6-18-67,george_lucas,george_lucas,type_true,cinematography,cinematography,,,no
222,C,In which country does the Auckland rugby union team play  ?,auckland_rugby_union_team,auckland_rugby_union_team,,,type_true,league,league,country,country,no
223,C,What is the total number of participant in conflict of SFOR?,sfor,sfor,,,type_true,battles,battle,battle,battle,no
224,C,From how many different places have people gone to the Harward Medical School?,harvard_medical_school,harvard_medical_school,,,type_false,institution,almaMater,birthPlace,birthPlace,no
225,C,How many movies music composers are associated with Demis Roussos ?,demis_roussos,demis_roussos,,,type_true,associatedActs,associatedMusicalArtist,musicComposer,musicComposer,yes
226,C,Who owns the schools which have a penguin as its mascot?,penguin,penguin,,,type_true,mascot,owningCompany,authority,binomialAuthority,yes
227,C,In which of the parties that have governed over Rishikesh does Govinda belong too?,govinda_(actor),,rishikesh,,type_true,party,producer,leaderName,governingBody,no
228,C,How many things are made by companies who produce mass media articles?,mass_media,mass_media,,,type_true,products,product,manufacturer,manufacturer,no
229,S,Name the rivers who originate from Essex?,essex,essex,,,type_true,mouthPlace,origin,,,no
230,C,Name the fictional character whose voice's animator is Hardie Gramatky?,hardie_gramatky,hardie_gramatky,,,type_true,animator,animator,voice,portrayer,yes
231,S,Which bacteria's taxonomic class is Bacilli?,bacilli,bacilli,,,type_true,class,class,,,no
232,C,Name the fictional character whose relative are Duck family and Clan McDuck?,duck_family_(disney),duck_family_(disney),clan_mcduck,clan_mcduck,type_true,relative,relative,relatives,relative,yes
233,C,List the movies whose cast member were born in Scotland.,scotland,scotland,,,type_true,birthPlace,birthPlace,starring,starring,yes
234,S,Where did the 2015 MLS All-Star Game take place?,2015_mls_all-star_game,2015_mls_all-star_game,,,type_true,city,city,,,no
235,S,Name the directors of Lennon Legend: The Very Best of John Lennon ( DVD ) ?,lennon_legend:_the_very_best_of_john_lennon_(dvd),,,,type_false,director,artist,,,no
236,C,For how many other teams have the members of Atlant Moscow Oblast played?,atlant_moscow_oblast,atlant_moscow_oblast,,,type_true,playedFor,formerTeam,formerTeam,team,no
237,C,Janaka Thissakuttiarachchi follows what religion which once employed Atisa Srijnana too?,janaka_thissakuttiarachchi,janaka_thissakuttiarachchi,Ati\u015ba,Ati\u015ba,type_true,religion,religion,occupation,religion,no
238,C,List the served region of the organisations of Trade association.,trade_association,trade_association,,,type_true,type,type,regionServed,regionServed,yes
239,S,Who is the owner of the South end ?,the_south_end,the_south_end,,,type_true,owners,owner,,,no
240,C,What currencies have been prevalent in the country whose national anthem is La Marseillaise?,la_marseillaise,la_marseillaise,,,type_true,anthem,soundRecording,currency,currency,no
241,C,Which venue of indy PopCon is also the death place of Louis Le Cocqq ?,indy_popcon,indy_popcon,louis_lecocq,louis_lecocq,type_true,venue,location,placeOfDeath,deathPlace,no
242,C,What state was Cyrus Mann born in and has the famous Downriver ?,downriver,downriver,cyrus_mann,,type_true,state,state,birthPlace,birthPlace,no
243,S,Count the affiliations of International Union of Anarchists?,international_union_of_anarchists,international_union_of_anarchists,,,type_true,affiliation,homepage,,,no
244,C,What territory of Sino French War was the battle of Raoul Magrin-Vernerey fought ?,sino-french_war,sino-french_war,raoul_magrin-vernerey,raoul_magrin-vernerey,type_true,territory,battle,battles,battle,no
245,C,The players born in Bellaire Ohio have played for which team?,bellaire_ohio,bellaire,,,type_true,birthPlace,birthPlace,team,formerTeam,no
246,C,Where did the graduates of Memphis Tenessee continue their education?,memphis_tennessee,memphis_tennessee,,,type_true,highschool,maintainedBy,school,college,no
247,C,What is the Location of the Peetz Table Wind Energy Center which is also the state of Ben Nighthorse Campbell ?,peetz_table_wind_energy_center,peetz_table_wind_energy_center,ben_nighthorse_campbell,ben_nighthorse_campbell,type_true,location,location,state,country,no
248,C,What are some cities which have a Ferris wheel?,ferris_wheel,ferris_wheel,,,type_false,buildingType,artist,locationTown,location,no
249,C,How many other home stadium are there of the soccer club whose home stadium is Luzhniki Stadium ?,luzhniki_stadium,luzhniki_stadium,,,type_true,homeStadium,homeStadium,homeStadium,homeStadium,no
250,C,In all the places with a stagecoach where is a Peetz Table Wind Energy Center located too?,stagecoach_colorado,stagecoach_(1966_film),peetz_table_wind_energy_center,energy_centre,type_true,location,nearestCity,location,location,no
251,C,What are some software which are written in languages that are run on Unix like OS?,unix-like,unix-like,,,type_true,operatingSystem,computingPlatform,programmingLanguage,programmingLanguage,yes
252,C,List the agencies located someplace lead by Alex Chalk.,alex_chalk,alex_chalk,,,type_true,leaderName,leaderName,location,location,yes
253,S,Alexander Magleby a rugby player is alma mater to which university?,alexander_magleby,alexander_magleby,,,type_false,university,school,,,no
254,C,Through which cities do the rivers starting at the Montauk State Park flow?,montauk_state_park,montauk_state_park,,,type_true,sourcePlace,sourcePlace,city,city,yes
255,C,Name the common alma mater of the Henry Morton Dexter and Jack McGregor,henry_morton_dexter,henry_morton_dexter,jack_mcgregor,jack_mcgregor,type_true,education,stateOfOrigin,education,region,no
256,S,Name some basketball players who  have played for chicago bulls?,chicago_bulls,chicago_bulls,,,type_false,team,gender,,,no
257,C,Name the river with source country in Zambia and source region as North-Western Province Zambia?,zambia,zambia,north-western_province_zambia,north-western_province_zambia,type_true,sourceCountry,sourceCountry,sourceRegion,sourceRegion,yes
258,C,List the products of the company which published Tweenies: Game Time.,tweenies:_game_time,tweenies:_game_time,,,type_true,publisher,publisher,products,product,no
259,C,Under which president did the predecessor of Simon Ferro work?,simon_ferro,simon_ferro,,,type_false,successor,successor,president,president,no
260,C,What are some team members of the team based in Camp Nou?,camp_nou,camp_nou,,,type_true,homeStadium,ground,name,team,no
261,S,Is Cologny a neighbouring city of Geneva?,geneva,geneva,cologny,cologny,type_true,neighboringMunicipalities,neighboringMunicipality,,,no
262,C,How many pole drivers have been there in grand prixes where first driver was Damon Hill?,damon_hill,damon_hill,,,type_true,firstDriver,poleDriver,poleDriver,poleDriver,yes
263,S,In which city was The Triple Door ( The Courage album ) performed live?,live_at_the_triple_door_(the_courage_album),,,,type_false,recorded,recordedIn,,,no
264,C,What is manufactured by a company headed by Kazuo Hirai?,kazuo_hirai,kazuo_hirai,,,type_true,keyPeople,keyPerson,manufacturer,manufacturer,no
265,C,Who created the Women in the Garden and also the L'Enfant a la tasse ?,women_in_the_garden,itv_(tv_channel),l'enfant_a_la_tasse,l'enfant_a_la_tasse,type_true,artist,museum,artist,author,no
266,C,Who is the maker of the engine of Ford F-Series first generation ?,ford_f-series_first_generation,ford_f-series_first_generation,,,type_true,engine,engine,manufacturer,manufacturer,no
267,S,What are the television shows whose starting music is composed by Ron Grainer?,ron_grainer,ron_grainer,,,type_false,themeMusicComposer,musicComposer,,,no
268,C,Which team has had both Martin prochzka and garry unger as its players ?,martin_prochzka,martin_prochzka,garry_unger,garry_unger,type_true,formerTeam,formerTeam,formerTeam,formerTeam,no
269,C,Who all have developed softwares for Unix Like OSes?,unix-like,unix-like,,,type_false,operatingSystem,operatingSystem,developer,developer,yes
270,C,Count the number of battles fought by the military person involved in Morocco ?,morocco,morocco,,,type_true,battles,placeOfBurial,battles,battle,no
271,C,Where did the plays written by Robert Schenkkan take place?,robert_schenkkan,robert_schenkkan,,,type_true,writer,writer,place,series,yes
272,C,List the television shows whose network's sister names is N-tv.,n-tv,n-tv,,,type_true,sisterNames,sisterStation,network,network,yes
273,C,What is the river whose mouth locations are Arctic Ocean and Laptev Sea?,arctic_ocean,arctic_ocean,laptev_sea,laptev_sea,type_true,mouthLocation,riverMouth,mouthLocation,riverMouth,yes
274,S,Was Lucrezia Tornabuoni the mother of Lorenzo de' Medici?,lorenzo_de'_medici,lorenzo_de'_medici,lucrezia_tornabuoni,lucrezia_tornabuoni,type_true,mother,campus,,,no
275,C,What is the combatant of the Northwest Indian War and also the ethnic group of the Linda Hogan ,northwest_indian_war,northwest_indian_war,linda_hogan,hulk_hogan,type_true,combatant,battle,ethnicity,ethnicity,no
276,C,Name the movie with narrator as Trevor Peacock and music composer  as Christophe Beck?,trevor_peacock,trevor_peacock,christophe_beck,christophe_beck,type_true,narrator,narrator,music,musicComposer,yes
277,S,Did Phillippe Cabot go to Columbia for studying?,phillippe_cabot,phillippe_cabot,columbia_university,columbia_university,type_true,university,university,,,no
278,S,List the other nicknames of city which has one of the nickname as City of Angels ?,city_of_angels,los_angeles_angels_of_anaheim,,,type_false,nickname,subsequentWork,,,no
279,S,Which models were featured in Playboy Playmates 1954?,list_of_playboy_playmates_of_1954,list_of_playboy_playmates_of_1954,,,type_true,succeeded,birthPlace,,,no
280,C,Where is the sister station of Al Arabiya 99 located?,al_arabiya_99,al_arabiya_99,,,type_true,sisterStations,sisterStation,location,city,yes
281,S,What is the baseball team whose manager is Chip Hale?,chip_hale,chip_hale,,,type_false,manager,manager,,,no
282,C,Name the movie which has music composed by Elliot Goldenthal and screenplay by Akiva Goldsman ?,elliot_goldenthal,elliot_goldenthal,akiva_goldsman,akiva_goldsman,type_true,music,partner,screenplay,director,yes
283,C,What awards are won by the screenwriter of Lucky You?,lucky_you_(film),lucky_you_(film),,,type_true,screenplay,cinematography,award,award,no
284,C,Which birthplace of Liliya Lobanova is also the location of the Snake Island ?,liliya_lobanova,liliya_lobanova,snake_island_(black_sea),snake_island_(black_sea),type_true,birthplace,birthPlace,locationCountry,location,no
285,S,What is the nationality of Aishath Saffa ?,aishath_saffa,aishath_saffa,,,type_true,nationality,nationality,,,no
286,C,Who were involved in the wars where Jonathan Haskell battled?,jonathan_haskell,jonathan_haskell,,,type_true,battles,battle,combatant,territory,no
287,S,What is the currency of Kerguelen Islands ?,kerguelen_islands,kerguelen_islands,,,type_true,currency,currency,,,no
288,S,Does Jevan Snead play as Quarterback?,jevan_snead,jevan_snead,quarterback,quarterback,type_true,position,formerTeam,,,no
289,S,Was Queen Latifah in the U.N.I.T.Y. group?,u.n.i.t.y.,u.n.i.t.y.,queen_latifah,queen_latifah,type_true,musicalArtist,musicalArtist,,,no
290,C,Which office holder owes its allegiance to a state whose capital town is Jamestown Virginia?,jamestown_virginia,jamestown_virginia,,,type_true,capital,capital,allegiance,owner,yes
291,C,Whose leaders are Willem-Alexander and Fredis Refunjol?,willem-alexander_of_the_netherlands,willem-alexander_of_the_netherlands,fredis_refunjol,fredis_refunjol,type_true,leader,leader,leader,leader,no
292,C,What are the airlines whose hub airport is operated by the Los Angeles World Airports?,los_angeles_world_airports,los_angeles_world_airports,,,type_true,operator,operator,hubAirport,hubAirport,yes
293,C,What is used as money for French Southern and Antarctic Lands is also the  product of the Karafarin Bank ?,french_southern_and_antarctic_lands,french_southern,karafarin_bank,karafarin_bank,type_true,currency,currency,product,product,no
294,C,Which office holder's resting place is in  Palo Alto California and was succeeded by Adrian A. Basora ?,palo_alto_california,palo_alto_california,adrian_a._basora,adrian_a._basora,type_true,restingPlace,restingPlace,successor,predecessor,yes
295,C,How many bands collaborated with artists who signed up with EMI?,emi,emi,,,type_true,recordLabel,prospectTeam,associatedMusicalArtist,bandMember,yes
296,C,How many record labels publish works of Jazz fusion?,jazz_fusion,jazz_fusion,,,type_true,genre,recordLabel,recordLabel,recordLabel,no
297,S,What is the largest city of Pulau Ubin ?,pulau_ubin,pulau_ubin,,,type_true,largestCity,largestCity,,,no
298,C,Which key person of the Elders is also the president of united World College ?,the_elders_(organization),,united_world_colleges,united_world_colleges,type_true,keyPeople,keyPerson,president,president,no
299,C,Name the television show directed by Simon Fuller and judged by Jennifier Lopez ?,simon_fuller,simon_fuller,jennifer_lopez,jennifer_lopez,type_true,creator,executiveProducer,judges,subsequentWork,yes
300,C,Give me some shows owned by BBC one and BBC hd?,bbc_one,bbc_one,bbc_hd,bbc_hd,type_true,network,owningCompany,network,network,yes
301,C,List out the people who are related to the relatives of Jared Kushner ?,jared_kushner,jared_kushner,,,type_false,relation,relation,relation,relative,no
302,C,Which license provider of MSX basic is also the designer of Language Integrated Query ?,language_integrated_query,language_integrated_query,msx_basic,msx_basic,type_true,designer,designer,license,license,no
303,S,Who was the United States president who also served as a governor of Indiana Territory?,indiana_territory,indiana_territory,,,type_false,branch,governmentType,,,no
304,C,What are the awards received by spouse of Ellen Lundstrom?,ellen_lundstr?m,ellen_lundstr?m,,,type_true,spouse,spouse,awards,award,no
305,C,Which common prime minister did Graham Richardson and Bon McMullan serve ?,graham_richardson,graham_richardson,bob_mcmullan,bob_mcmullan,type_true,primeMinister,primeMinister,primeMinister,primeMinister,no
306,S,Name the alma mater of Ernest de Saisset ?,ernest_de_saisset,ernest_de_saisset,,,type_true,almaMater,almaMater,,,no
307,C,What are some party leaders of the parties which have had a seat in Berlin?,berlin,berlin,,,type_true,headquarter,leaderName,leader,leader,yes
308,C,What is the city of the Maine School of Science and Mathematics is also the resting place of Charles A. Boutelle ?,maine_school_of_science_and_mathematics,maine_school_of_science_and_mathematics,charles_a._boutelle,charles_a._boutelle,type_true,authority,city,restingplace,restingPlace,no
309,C,What is the baseball team whose club manager's debut team is Houston Astros?,houston_astros,houston_astros,,,type_true,debutTeam,debutTeam,manager,team,yes
310,C,List the producer of the television shows distributed by FremantleMedia.,fremantlemedia,fremantlemedia,,,type_true,distributor,distributor,producer,producer,yes
311,S,What stadium's operator is Stan Kroenke,stan_kroenke,stan_kroenke,,,type_true,operator,operator,,,no
312,C,List all binomial authority of the insects whose one of the  binomial authority is douard Mntries?,douard_mntries,douard_mntries,,,type_true,binomialAuthority,binomialAuthority,binomialAuthority,jurisdiction,no
313,S,Name the resting place of Fazlur Rahman Khan ?,fazlur_rahman_khan,fazlur_rahman_khan,,,type_true,restingPlace,restingPlace,,,no
314,C,List some teams for which someone who has played as a defender now plays?,defenceman,,,,type_true,position,position,team,team,no
315,C,In which place is the company which is known for Barbara bestor located ?,barbara_bestor,barbara_bestor,,,type_true,knownFor,knownFor,location,locationCity,yes
316,S,What is the district of Methodist Central Hall Westminster ?,methodist_central_hall_westminster,methodist_central_hall_westminster,,,type_true,district,district,,,no
317,C,How many religions are followed amongst the people who've worked in the Korean army?,republic_of_korea_army,republic_of_korea_army,,,type_true,militaryBranch,battle,religion,religion,no
318,C,Which architect of Marine Corps Air Station Kaneohe Bay was also tenant of New Sanno hotel /',marine_corps_air_station_kaneohe_bay,marine_corps_air_station_kaneohe_bay,new_sanno_hotel,new_sanno_hotel,type_true,architect,architect,tenant,tenant,no
319,C,What is the television show whose channel's parent organisation is Fox Sports?,fox_sports_(united_states),fox_sports_(united_states),,,type_true,parentOrganisation,parentOrganisation,channel,company,yes
320,C,What are the players whose former teams are Carolina Panthers and Indianapolis Colts?,carolina_panthers,carolina_panthers,indianapolis_colts,indianapolis_colts,type_true,formerTeam,formerTeam,formerTeam,formerTeam,no
321,C,Deion sanders and Hinkey haines debuted their career with which common team?,hinkey_haines,hinkey_haines,deion_sanders,deion_sanders,type_true,debutteam,debutTeam,debutteam,associatedBand,no
322,C,What ethinicity of Linda Hogan is also the state of origin of Holmes Colbert ?,linda_hogan,linda_hogan,holmes_colbert,holmes_colbert,type_true,ethnicity,ethnicity,stateOfOrigin,stateOfOrigin,no
323,C,Where are jockeys in Dubai World Cup from?,dubai_world_cup,dubai_world_cup,,,type_false,race,race,birthPlace,location,yes
324,S,What is the government type of Ancient Rome ?,ancient_rome,ancient_rome,,,type_true,governmentType,governmentType,,,no
325,S,Who are the animator of The Skeleton Dance?,the_skeleton_dance,the_skeleton_dance,,,type_true,animator,animator,,,no
326,S,What are the movies whose screenplay is done by Eric Roth?,eric_roth,eric_roth,,,type_false,screenplay,executiveProducer,,,no
327,S,What cities are near to Nihoa which is also known as Bird Island ?,nihoa,nihoa,,,type_false,nearestCity,nearestCity,,,no
328,C,How many cities are around the sea in which the the fig tree bay meets?,fig_tree_bay,fig_tree_bay,,,type_true,inflow,inflow,cities,nearestCity,yes
329,C,Count the number of families of the Animal kingdom.,animal,animal,,,type_true,kingdom,kingdom,family,family,no
330,S,Who is the partner of Rob Patterson?,rob_patterson,rob_patterson,,,type_true,partner,partner,,,no
331,S,Name the parent company of  Ford Air Transport Service ?,ford_air_transport_service,ford_air_transport_service,,,type_true,parentCompany,parentCompany,,,no
332,S,who developed google videos?,google_videos,google,,,type_true,developer,developer,,,no
333,S,Does Ford own the Ford Kansas Assembly plant?,ford_kansas_city_assembly_plant,ford_kansas_city_assembly_plant,ford_motor_company,,type_true,owningOrganisation,owningOrganisation,,,no
334,C,Which political party of Yashpal Kapur is also the owner of National Herald ?,the_national_herald_(india),the_national_herald_(india),yashpal_kapur,yashpal_kapur,type_true,owner,sisterNewspaper,party,party,no
335,C,Where did the athlete start his career who did his highschool in Red Lion Area School District?,red_lion_area_school_district,red_lion_area_school_district,,,type_true,highschool,highschool,debutteam,highschool,yes
336,C,Which destination of Emerald Air is also the city served by houston Fort Bend Airport ?,emerald_air_(united_states),emerald_air_(united_states),houston_fort_bend_airport,houston_fort_bend_airport,type_true,destination,destination,cityServed,city,no
337,C,List the debut team of the baseball player who born in Houston.,houston,houston,,,type_true,birthPlace,birthPlace,debutTeam,debutTeam,yes
338,S,Is jim harbaugh currently in the Michigan Wolverines?,jim_harbaugh,jim_harbaugh,michigan_wolverines,michigan,type_true,currentteam,formerTeam,,,no
339,C,List the people with final resting place as Plymouth Vermont and has Samuel W. McCall as predecessor?,plymouth_vermont,,samuel_w._mccall,samuel_w._mccall,type_true,restingPlace,restingPlace,predecessor,predecessor,yes
340,S,Was christina crawford trained by Booker T?,christina_crawford_(wrestler),christina_crawford_(wrestler),booker_t_(wrestler),booker_t_(wrestler),type_true,trainer,trainer,,,no
341,C,Which education center Sidney Catlin Partrodge attended which was also the alma mater of Lisa Brummel ?,sidney_catlin_partridge,sidney_catlin_partridge,lisa_brummel,lisa_brummel,type_true,education,education,almaMater,almaMater,no
342,S,Which driver had the pole position in 1994 Spanish Grand Prix ?,1994_spanish_grand_prix,1994_spanish_grand_prix,,,type_true,poleDriver,poleDriver,,,no
343,C,Who is the producer of album which has the song Eclipse ?,eclipse_(song),eclipse_stakes,,,type_true,album,producer,producer,producer,yes
344,S,What is the automobile platform of Chiva bus ?,chiva_bus,chiva_bus,,,type_true,automobilePlatform,automobilePlatform,,,no
345,C,What teams did the ex teamplayers of lighthouse boy club start their career with?,lighthouse_boys_club,,,,type_true,youthclubs,team,debutteam,team,no
346,C,Which producer of Purvis Eureka engine is also the owner of Ford Theatre ?,purvis_eureka,purvis_eureka,ford_theatre,ford_theatre,type_true,engine,engine,company,distributor,no
347,S,Did John Byrne create Emma Frost?,emma_frost,,john_byrne_(comics),,type_true,creators,creator,,,no
348,C,Among the companies who has product named Chinook who has a key person as Dennis Muilenburg ?,dennis_muilenburg,dennis_muilenburg,boeing_ch-47_chinook,,type_true,keyPeople,keyPerson,products,manufacturer,yes
349,C,Who gave guest appearances on the show which is the next episode after the Bombshell one?,bombshell_(smash),bombshell_(smash),,,type_true,previousWork,subsequentWork,guests,writer,yes
350,C,Miluk and Cayuse are still spoken in which part of the world?,miluk_language,miluk_language,cayuse_language,cayuse_oregon,type_true,region,spokenIn,region,language,no
351,C,Name the fictional character whose relatives are Huey Dewey and Louie and is of species American Pekin duck?,huey_dewey_and_louie,louis_armstrong,american_pekin_duck,american_pekin_duck,type_true,relatives,relative,species,species,yes
352,S,Who was the coach of marquette Golden Eagles men's basketball team-201213 season ?,2012C13_marquette_golden_eagles_men's_basketball_team,2012C13_marquette_golden_eagles_men's_basketball_team,,,type_false,coach,coach,,,no
353,C,Which designer of RENFE also owns Renaissance Center ?,renfe_class_333,renfe_operadora,renaissance_center,renaissance_center,type_true,designer,designer,owner,owner,no
354,C,Name the river which flows through the closest city of Mount Raimer ?,mount_raimer,mount_raimer,,,type_true,nearestCity,mountainRange,river,sourceRegion,no
355,C,In which region is the rival school of Somerset Massachusetts located?,somerset_massachusetts,,,,type_true,rival,locatedInArea,region,region,yes
356,S,Who is the relative of Jim Farley (businessman) ?,jim_farley_(businessman),jim_farley_(businessman),,,type_true,relatives,relative,,,no
357,S,Who is the narrator of The Price of Beauty ?,the_price_of_beauty,the_price_of_beauty,,,type_true,narrator,narrator,,,no
358,C,What is the area of the Tar Heel Sports Network which is  official residence of the Michael Nichols (photographer) ?,tar_heel_sports_network,tar_heel_sports_network,michael_nichols_(photographer),michael_nichols_(photographer),type_true,area,broadcastArea,residence,residence,no
359,S,List few Swedish language movies ?,swedish_language,sweden,,,type_true,language,originalLanguage,,,no
360,C,Which publisher of Lucifer's hammer is also known for Jo Garcia ?,lucifer's_hammer,lucifer's_hammer,jo_garcia,jo_garcia,type_true,publisher,publisher,knownFor,knownFor,no
361,C,List the driver of SA MArino Grand Prix is also the Pole driver of Canadian Grand Prix ?,1999_san_marino_grand_prix,1999_san_marino_grand_prix,1997_canadian_grand_prix,1981_canadian_grand_prix,type_true,firstDriver,poleDriver,poleDriver,firstDriver,no
362,S,What are some orthonychidae birds?,orthonychidae,orthonychidae,,,type_true,family,order,,,no
363,S,Which professional fighter who is also a politician and was elected to House of Representatives of the Philippines?,house_of_representatives_of_the_philippines,house_of_representatives_of_the_philippines,,,type_false,occupation,committeeInLegislature,,,no
364,S,What is the television show whose related with  Doctor Who Confidential?,doctor_who_confidential,confidential_(magazine),,,type_true,related,previousWork,,,no
365,C,Name all those buried in a place governed by a city council.,city_council,city_council,,,type_true,governingBody,leaderName,restingPlace,place,no
366,C,What is the total number of writers whose singles are recorded in Miami?,miami,miami,,,type_true,recordedIn,musicalArtist,writer,writer,no
367,C,Daniel L D Granger and Job Durfee have based their political career in which US state?,daniel_l._d._granger,daniel_l._d._granger,job_durfee,united_states,type_true,state,region,state,occupation,no
368,C,What is the common nationality of Viveka Babajee anad Ronny Vencatachellum ?,viveka_babajee,viveka_babajee,ronny_vencatachellum,ronny_vencatachellum,type_true,citizenship,citizenship,nationality,nationality,no
369,S,Name the office holder whose constituency is Haight Ashbury?,haight-ashbury,san_francisco,,,type_false,constituency,leaderName,,,no
370,C,What is the common ideology followed by Katyayana and Palang Dharma Party ?,katyayana_(buddhist),katyayana_(mathematician),palang_dharma_party,palang_dharma_party,type_true,religion,religion,ideology,ideology,no
371,C,Give me the count of all the names of characters created by Frank Miller,frank_miller_(comics),frank_miller_(comics),,,type_true,creators,creator,characterName,closingFilm,no
372,S,list the founders of Bream Bay ?,bream_bay,bream_bay,,,type_true,founder,founder,,,no
373,S,List the companies operating in Australia?,australia,australia,,,type_true,regionServed,regionServed,,,no
374,C,Name the country whose leader's deputy is Piotr Glinski?,piotr_gliski,piotr_gliski,,,type_true,deputy,deputy,leaderName,country,yes
375,C,Companies founded in Taiwan have typically which divisions?,taiwan,taiwan,,,type_true,foundationPlace,company,division,foundationPlace,yes
376,C,Where was the predecessor of Sevan Ross born?,sevan_ross,sevan_ross,,,type_false,successor,birthPlace,placeOfBirth,birthPlace,no
377,C,Who built the stadiums where 2014 FIFA under 17 woman's world cup took place?,2014_fifa_u-17_women's_world_cup,2014_fifa_u-17_women's_world_cup,,,type_true,tenant,tenant,builder,builder,no
378,S,Name the source of Raa ?,ra拧a_(river),ibm,,,type_true,source,source,,,no
379,C,In which countries does the sea lie on whose shore is the city of Cumana?,cumana_(company),cumana_(company),,,type_true,cities,nearestCity,country,country,yes
380,S,Was Nick Jonas a member of the Jonas Brothers?,jonas_brothers,jonas_brothers,nick_jonas,,type_true,pastMembers,formerBandMember,,,no
